date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-04-10,NVDA,UP,ATM,NVDA260410C00187500,,open_ladder,day_iv,187.99,187.5,0,2026-04-10 10:30:00-04:00,1,1.01606,1.00394,-0.011928429423459175,T+30,2026-04-10 12:45:00-04:00,2026-04-10 12:45:00-04:00,0.004409546914956541,3.0,-1.619711748616863
2026-04-10,AMD,UP,ATM,AMD260410C00245000,,open_ladder,day_iv,246.525,245.0,0,2026-04-10 10:39:00-04:00,1,1.1468399999999999,1.13316,-0.011928429423459175,T+30,2026-04-10 15:20:00-04:00,2026-04-10 15:20:00-04:00,0.004081699560684493,1.0,1.0121738996880043
2026-04-13,MSFT,UP,ATM,MSFT260413C00377500,,open_ladder,day_iv,378.4979,377.5,0,2026-04-13 10:54:00-04:00,1,2.34398,2.31602,-0.011928429423459286,T+30,2026-04-13 11:20:00-04:00,2026-04-13 11:20:00-04:00,0.0019148309384309226,3.0,-0.7429366180841344
2026-05-01,TSLA,UP,ATM,TSLA260501C00387500,,open_ladder,day_iv,388.33,387.5,0,2026-05-01 10:33:00-04:00,1,3.0984800000000003,3.06152,-0.011928429423459397,T+30,2026-05-01 15:55:00-04:00,2026-05-01 15:55:00-04:00,0.009796285200718957,2.0,-0.24010555122640562
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,,open_ladder,day_iv,282.43,282.5,1,2026-05-05 13:04:00-04:00,1,1.8208600000000001,2.92236,0.6049339323176959,TP,2026-05-05 13:04:00-04:00,2026-05-05 13:19:00-04:00,0.012617405778147628,0.0,-0.9944012607830027
2026-05-05,AAPL,UP,ATM,AAPL260506C00282500,,open_ladder,day_iv,282.8501,282.5,1,2026-05-05 13:53:00-04:00,2,2.03212,2.7335000000000003,0.3451469401413305,T+30,2026-05-05 13:53:00-04:00,2026-05-05 14:23:00-04:00,0.013850909523243526,0.0,-1.3706701152556426
2026-05-06,AMD,UP,ATM,AMD260508C00415000,,open_ladder,day_iv,416.93,415.0,2,2026-05-06 11:22:00-04:00,1,12.2229,10.14874,-0.16969458966366402,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00,0.015523894766187984,0.0,-2.3886606461103956
2026-05-07,TSLA,UP,ATM,TSLA260508C00412500,,open_ladder,day_iv,411.92,412.5,1,2026-05-07 10:36:00-04:00,1,5.1809,3.8467800000000003,-0.25750738288714314,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,0.0055996837149121514,0.0,0.09742506269524989
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,,open_ladder,day_iv,425.02,425.0,1,2026-05-07 10:51:00-04:00,1,3.6115399999999998,3.7772,0.04586962902252245,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:00-04:00,0.006692304927577775,0.0,-0.06944474636868307
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,,open_ladder,day_iv,426.36,425.0,1,2026-05-07 11:55:00-04:00,2,4.255380000000001,2.9720600000000004,-0.30157588746480923,T+30,2026-05-07 11:55:00-04:00,2026-05-07 12:25:00-04:00,0.0038026093519749615,0.0,1.0201473142722075
