date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-05-19,AMZN,DN,ATM,AMZN260520P00262500,open_lock,day_iv,256.93,262.5,1,2026-05-19 11:15:00-04:00,1,6.3881,6.8088999999999995,0.06587248164555959,T+30,2026-05-19 11:19:00-04:00,2026-05-19 11:45:00-04:00,stream
2026-05-19,TSLA,DN,ATM,TSLA260520P00402500,open_lock,day_iv,397.56,402.5,1,2026-05-19 11:26:00-04:00,1,7.9977,8.30984,0.03902872075721753,T+30,2026-05-19 11:26:00-04:00,2026-05-19 11:56:00-04:00,stream
2026-05-19,AMZN,DN,ATM,AMZN260520P00262500,open_lock,day_iv,255.59,262.5,1,2026-05-19 11:54:00-04:00,2,7.3941,6.5107,-0.11947363438417113,T+30,2026-05-19 11:55:00-04:00,2026-05-19 12:27:00-04:00,stream
2026-05-20,AMD,UP,ATM,AMD260522C00427500,open_lock,day_iv,445.21,427.5,2,2026-05-20 10:30:00-04:00,1,22.775840000000002,23.37888,0.02647717932686544,T+30,2026-05-20 10:35:00-04:00,2026-05-20 11:02:00-04:00,stream
2026-05-20,NVDA,UP,ATM,NVDA260522C00222500,open_lock,day_iv,225.61,222.5,2,2026-05-20 11:15:00-04:00,1,8.2492,7.88242,-0.044462493332686814,T+30,2026-05-20 11:15:00-04:00,2026-05-20 11:45:00-04:00,stream
2026-05-20,AMD,UP,ATM,AMD260522C00427500,open_lock,day_iv,445.9117,427.5,2,2026-05-20 11:19:00-04:00,2,24.32508,26.341,0.08287413648793751,T+30,2026-05-20 11:19:00-04:00,2026-05-20 11:59:00-04:00,stream
2026-05-20,AMD,UP,ATM,AMD260522C00427500,open_lock,day_iv,445.225,427.5,2,2026-05-20 12:41:00-04:00,3,22.89656,23.9057,0.04407386961185433,T+30,2026-05-20 12:47:00-04:00,2026-05-20 13:21:00-04:00,stream
2026-05-21,NVDA,DN,ATM,NVDA260522P00222500,open_lock,day_iv,218.2775,222.5,1,2026-05-21 10:34:00-04:00,1,5.7342,4.56246,-0.20434236685152252,T+30,2026-05-21 10:34:00-04:00,2026-05-21 11:04:00-04:00,stream
2026-05-21,AMD,DN,ATM,AMD260522P00442500,open_lock,day_iv,434.4,442.5,1,2026-05-21 11:06:00-04:00,1,11.921100000000001,8.7472,-0.26624220919210484,T+30,2026-05-21 11:06:00-04:00,2026-05-21 11:37:00-04:00,stream
2026-05-22,AMD,UP,ATM,AMD260522C00470000,open_lock,day_iv,468.7,470.0,0,2026-05-22 10:30:00-04:00,1,0.1509,0.14909999999999998,-0.011928429423459397,T+30,2026-05-22 15:52:00-04:00,2026-05-22 15:52:00-04:00,stream
2026-05-22,TSLA,UP,ATM,TSLA260522C00422500,open_lock,day_iv,426.77,422.5,0,2026-05-22 10:38:00-04:00,1,4.2252,4.1748,-0.011928429423459175,T+30,2026-05-22 15:24:00-04:00,2026-05-22 15:24:00-04:00,stream
2026-05-27,AMD,DN,ATM,AMD260529P00507500,open_lock,day_iv,488.7301,507.5,2,2026-05-27 10:30:00-04:00,1,25.401500000000002,24.1045,-0.051059976773025206,T+30,2026-05-27 10:30:00-04:00,2026-05-27 11:24:00-04:00,stream
2026-05-27,NVDA,DN,ATM,NVDA260527P00215000,open_lock,day_iv,209.915,215.0,0,2026-05-27 10:41:00-04:00,1,3.51094,3.4690600000000003,-0.011928429423459175,T+30,2026-05-27 12:43:00-04:00,2026-05-27 12:43:00-04:00,stream
2026-05-28,AMD,UP,ATM,AMD260529C00500000,open_lock,day_iv,511.0,500.0,1,2026-05-28 10:39:00-04:00,1,16.6996,21.380940000000002,0.28032647488562623,T+30,2026-05-28 10:39:00-04:00,2026-05-28 11:09:00-04:00,stream
2026-05-28,MSFT,UP,ATM,MSFT260529C00412500,open_lock,day_iv,425.09,412.5,1,2026-05-28 11:00:00-04:00,1,13.359679999999999,12.74308,-0.04615380009101999,T+30,2026-05-28 11:01:00-04:00,2026-05-28 11:30:00-04:00,stream
2026-05-28,AMD,UP,ATM,AMD260529C00500000,open_lock,day_iv,519.255,500.0,1,2026-05-28 11:14:00-04:00,2,22.39356,24.0051,0.07196443977643563,T+30,2026-05-28 11:15:00-04:00,2026-05-28 11:44:00-04:00,stream
2026-05-28,AMD,UP,ATM,AMD260529C00500000,open_lock,day_iv,521.49,500.0,1,2026-05-28 12:48:00-04:00,3,24.144000000000002,22.066799999999997,-0.08603379721670001,T+30,2026-05-28 12:49:00-04:00,2026-05-28 13:18:00-04:00,stream
2026-06-02,AAPL,UP,ATM,AAPL260603C00307500,open_lock,day_iv,312.63,307.5,1,2026-06-02 11:21:00-04:00,1,5.60342,5.9639999999999995,0.06434998625839206,T+30,2026-06-02 11:21:00-04:00,2026-06-02 11:51:00-04:00,stream
